Attack,Block,Jump,Sprint
0,0,0,0
2,1,4,3
2,5,3,5
11,192,7,1
3,2,0,6
2,1,1,3
1,0,0,0
0,0,0,0
4,0,0,1
6,2,2,2
1,1,0,3
1,1,0,1
0,0,0,0
6,0,0,3
0,0,0,0
2,0,0,4
3,0,12,28
1,0,0,0
0,0,0,0
0,0,0,0
1,0,4,1
0,0,0,0
0,0,0,0
3,0,2,2
1,0,0,0
0,0,6,2
0,0,0,1
1,0,1,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
3,0,2,6
6,0,30,14
2,0,1,3
0,0,0,0
1,1,2,1
0,0,0,1
0,0,0,0
1,0,0,1
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
1,0,0,3
0,0,0,1
0,0,1,4
1,0,0,1
1,0,0,0
0,0,0,0
0,0,1,4
1,0,0,3
2,0,0,12
1,0,0,2
0,0,0,1
0,0,1,12
1,0,4,7
1,0,1,4
0,0,1,10
0,0,5,3
10,1,0,10
0,0,0,3
0,0,0,2
2,0,0,1
1,0,0,2
0,0,0,0
0,0,0,1
0,0,0,1
1,0,0,2
2,2,1,4
2,0,0,2
1,0,1,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,1
1,0,0,2
1,0,0,1
0,0,0,1
1,0,0,1
2,0,0,1
3,0,1,1
3,0,0,3
1,0,1,4
1,0,0,0
1,0,0,1
0,0,0,1
4,0,0,4
0,0,0,0
1,0,1,1
1,0,1,0
0,0,1,10
0,0,0,0
1,0,1,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,4,0,0
1,0,0,0
1,0,0,0
6,0,0,0
25,0,0,1
0,0,0,0
2,0,0,0
6,0,5,0
2,9,1,1
0,0,1,0
6,0,2,1
2,0,2,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
2,0,3,0
2,0,1,0
0,0,10,0
1,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
1,0,1,0
8,2,1,0
0,0,1,0
1,0,2,0
1,0,3,0
1,0,1,0
0,0,5,0
0,0,1,0
6,0,1,0
0,0,1,0
0,0,1,0
1,0,18,2
0,0,2,0
0,0,3,0
1,0,1,0
0,0,0,0
0,0,3,0
0,0,1,0
1,0,1,0
0,0,27,0
0,0,1,0
0,0,14,0
0,0,1,0
1,0,1,0
0,0,10,0
0,0,3,0
12,0,3,0
0,0,25,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,13,0
4,0,2,0
0,0,0,0
2,0,0,0
2,0,0,0
0,0,0,0
2,0,0,0
3,7,11,0
4,0,0,1
5,0,0,1
0,0,0,2
2,0,2,6
0,0,0,3
2,0,1,2
0,0,1,3
4,0,1,3
0,0,0,1
6,0,2,5
0,0,1,1
